Date and Time,"Water Level, meters"
2019-10-18T20:20:03Z,0.012
2019-10-18T20:21:38Z,NA
2019-10-18T20:22:03Z,0.011
2019-10-18T20:23:38Z,NA
2019-10-18T20:24:03Z,0.012
2019-10-18T20:25:38Z,NA
2019-10-18T20:26:03Z,0.013
2019-10-18T20:27:38Z,NA
2019-10-18T20:28:03Z,0.014
2019-10-18T20:29:38Z,NA
2019-10-18T20:30:03Z,0.014
2019-10-18T20:31:38Z,NA
2019-10-18T20:32:03Z,0.012
2019-10-18T20:33:38Z,NA
2019-10-18T20:34:03Z,0.013
2019-10-18T20:35:38Z,NA
2019-10-18T20:36:03Z,0.013
2019-10-18T20:37:38Z,NA
2019-10-18T20:38:03Z,0.013
2019-10-18T20:39:38Z,NA
2019-10-18T20:40:03Z,0.013
2019-10-18T20:41:38Z,NA
2019-10-18T20:42:03Z,0.015
2019-10-18T20:43:38Z,NA
2019-10-18T20:44:03Z,0.014
2019-10-18T20:45:38Z,NA
2019-10-18T20:46:03Z,0.014
2019-10-18T20:47:38Z,NA
2019-10-18T20:48:03Z,0.015
2019-10-18T20:49:38Z,NA
2019-10-18T20:50:03Z,0.015
2019-10-18T20:51:38Z,NA
2019-10-18T20:52:03Z,0.014
2019-10-18T20:53:38Z,NA
2019-10-18T20:54:03Z,0.014
2019-10-18T20:55:38Z,NA
2019-10-18T20:56:03Z,0.013
2019-10-18T20:57:38Z,NA
2019-10-18T20:58:03Z,0.015
2019-10-18T20:59:38Z,NA
2019-10-18T21:00:03Z,0.013
2019-10-18T21:01:38Z,NA
2019-10-18T21:02:03Z,0.013
2019-10-18T21:03:38Z,NA
2019-10-18T21:04:03Z,0.013
2019-10-18T21:05:38Z,NA
2019-10-18T21:06:03Z,0.011
2019-10-18T21:07:38Z,NA
2019-10-18T21:08:03Z,0.011
2019-10-18T21:09:38Z,NA
2019-10-18T21:10:03Z,0.01
2019-10-18T21:11:38Z,NA
2019-10-18T21:12:03Z,0.013
2019-10-18T21:13:38Z,NA
2019-10-18T21:14:03Z,0.012
2019-10-18T21:15:38Z,NA
2019-10-18T21:16:03Z,0.013
2019-10-18T21:17:38Z,NA
2019-10-18T21:18:03Z,0.009
2019-10-18T21:19:38Z,NA
2019-10-18T21:20:03Z,0.012
2019-10-18T21:21:38Z,NA
2019-10-18T21:22:03Z,0.01
2019-10-18T21:23:38Z,NA
2019-10-18T21:24:03Z,0.011
2019-10-18T21:25:38Z,NA
2019-10-18T21:26:03Z,0.012
2019-10-18T21:27:38Z,NA
2019-10-18T21:28:03Z,0.012
2019-10-18T21:29:38Z,NA
2019-10-18T21:30:03Z,0.013
2019-10-18T21:31:38Z,NA
2019-10-18T21:32:03Z,0.011
2019-10-18T21:33:38Z,NA
2019-10-18T21:34:03Z,0.013
2019-10-18T21:35:38Z,NA
2019-10-18T21:36:03Z,0.013
2019-10-18T21:37:38Z,NA
2019-10-18T21:38:03Z,0.012
2019-10-18T21:39:38Z,NA
2019-10-18T21:40:03Z,0.012
2019-10-18T21:41:38Z,NA
2019-10-18T21:42:03Z,0.013
2019-10-18T21:43:38Z,NA
2019-10-18T21:44:03Z,0.013
2019-10-18T21:45:38Z,NA
2019-10-18T21:46:03Z,0.013
2019-10-18T21:47:38Z,NA
2019-10-18T21:48:03Z,0.014
2019-10-18T21:49:38Z,NA
2019-10-18T21:50:03Z,0.015
2019-10-18T21:51:38Z,NA
2019-10-18T21:52:03Z,0.013
2019-10-18T21:53:38Z,NA
2019-10-18T21:54:03Z,0.013
2019-10-18T21:55:38Z,NA
2019-10-18T21:56:03Z,0.012
2019-10-18T21:57:38Z,NA
2019-10-18T21:58:03Z,0.016
2019-10-18T21:59:38Z,NA
2019-10-18T22:00:03Z,0.014
2019-10-18T22:01:38Z,NA
2019-10-18T22:02:03Z,0.016
2019-10-18T22:03:38Z,NA
2019-10-18T22:04:03Z,0.015
2019-10-18T22:05:38Z,NA
2019-10-18T22:06:03Z,0.013
2019-10-18T22:07:38Z,NA
2019-10-18T22:08:03Z,0.016
2019-10-18T22:09:38Z,NA
2019-10-18T22:10:03Z,0.014
2019-10-18T22:11:38Z,NA
2019-10-18T22:12:03Z,0.016
2019-10-18T22:13:38Z,NA
2019-10-18T22:14:03Z,0.014
2019-10-18T22:15:38Z,NA
2019-10-18T22:16:03Z,0.014
2019-10-18T22:17:38Z,NA
2019-10-18T22:18:03Z,0.014
2019-10-18T22:19:38Z,NA
2019-10-18T22:20:03Z,0.015
2019-10-18T22:21:38Z,NA
2019-10-18T22:22:03Z,0.015
2019-10-18T22:23:38Z,NA
2019-10-18T22:24:03Z,0.014
2019-10-18T22:25:38Z,NA
2019-10-18T22:26:03Z,0.015
2019-10-18T22:27:38Z,NA
2019-10-18T22:28:03Z,0.013
2019-10-18T22:29:38Z,NA
2019-10-18T22:30:03Z,0.014
2019-10-18T22:31:38Z,NA
2019-10-18T22:32:03Z,0.015
2019-10-18T22:33:38Z,NA
2019-10-18T22:34:03Z,0.017
2019-10-18T22:35:38Z,NA
2019-10-18T22:36:03Z,0.016
2019-10-18T22:37:38Z,NA
2019-10-18T22:38:03Z,0.017
2019-10-18T22:39:38Z,NA
2019-10-18T22:40:03Z,0.017
2019-10-18T22:41:38Z,NA
2019-10-18T22:42:03Z,0.016
2019-10-18T22:43:38Z,NA
2019-10-18T22:44:03Z,0.017
2019-10-18T22:45:38Z,NA
2019-10-18T22:46:03Z,0.018
2019-10-18T22:47:38Z,NA
2019-10-18T22:48:03Z,0.017
2019-10-18T22:49:38Z,NA
2019-10-18T22:50:03Z,0.014
2019-10-18T22:51:38Z,NA
2019-10-18T22:52:03Z,0.016
2019-10-18T22:53:38Z,NA
2019-10-18T22:54:03Z,0.016
2019-10-18T22:55:38Z,NA
2019-10-18T22:56:03Z,0.016
2019-10-18T22:57:38Z,NA
2019-10-18T22:58:03Z,0.017
2019-10-18T22:59:38Z,NA
2019-10-18T23:00:03Z,0.017
2019-10-18T23:01:38Z,NA
2019-10-18T23:02:03Z,0.018
2019-10-18T23:03:38Z,NA
2019-10-18T23:04:03Z,0.018
2019-10-18T23:05:38Z,NA
2019-10-18T23:06:03Z,0.017
2019-10-18T23:07:38Z,NA
2019-10-18T23:08:03Z,0.016
2019-10-18T23:09:38Z,NA
2019-10-18T23:10:03Z,0.016
2019-10-18T23:11:38Z,NA
2019-10-18T23:12:03Z,0.018
2019-10-18T23:13:38Z,NA
2019-10-18T23:14:03Z,0.017
2019-10-18T23:15:38Z,NA
2019-10-18T23:16:03Z,0.018
2019-10-18T23:17:38Z,NA
2019-10-18T23:18:03Z,0.018
2019-10-18T23:19:38Z,NA
2019-10-18T23:20:03Z,0.018
2019-10-18T23:21:38Z,NA
2019-10-18T23:22:03Z,0.016
2019-10-18T23:23:38Z,NA
2019-10-18T23:24:03Z,0.019
2019-10-18T23:25:38Z,NA
2019-10-18T23:26:03Z,0.017
2019-10-18T23:27:38Z,NA
2019-10-18T23:28:03Z,0.017
2019-10-18T23:29:38Z,NA
2019-10-18T23:30:03Z,0.019
2019-10-18T23:31:38Z,NA
2019-10-18T23:32:03Z,0.018
2019-10-18T23:33:38Z,NA
2019-10-18T23:34:03Z,0.017
2019-10-18T23:35:38Z,NA
2019-10-18T23:36:03Z,0.016
2019-10-18T23:37:38Z,NA
2019-10-18T23:38:03Z,0.019
2019-10-18T23:39:38Z,NA
2019-10-18T23:40:03Z,0.019
2019-10-18T23:41:38Z,NA
2019-10-18T23:42:03Z,0.018
2019-10-18T23:43:38Z,NA
2019-10-18T23:44:03Z,0.017
2019-10-18T23:45:38Z,NA
2019-10-18T23:46:03Z,0.019
2019-10-18T23:47:38Z,NA
2019-10-18T23:48:03Z,0.016
2019-10-18T23:49:38Z,NA
2019-10-18T23:50:03Z,0.018
2019-10-18T23:51:38Z,NA
2019-10-18T23:52:03Z,0.018
2019-10-18T23:53:38Z,NA
2019-10-18T23:54:03Z,0.017
2019-10-18T23:55:38Z,NA
2019-10-18T23:56:03Z,0.018
2019-10-18T23:57:38Z,NA
2019-10-18T23:58:03Z,0.018
2019-10-18T23:59:38Z,NA
2019-10-19T00:00:03Z,0.019
2019-10-19T00:01:38Z,NA
2019-10-19T00:02:03Z,0.018
2019-10-19T00:03:38Z,NA
2019-10-19T00:04:03Z,0.019
2019-10-19T00:05:38Z,NA
2019-10-19T00:06:03Z,0.018
2019-10-19T00:07:38Z,NA
2019-10-19T00:08:03Z,0.017
2019-10-19T00:09:38Z,NA
2019-10-19T00:10:03Z,0.016
2019-10-19T00:11:38Z,NA
2019-10-19T00:12:03Z,0.016
2019-10-19T00:13:38Z,NA
2019-10-19T00:14:03Z,0.018
2019-10-19T00:15:38Z,NA
2019-10-19T00:16:03Z,0.017
2019-10-19T00:17:38Z,NA
2019-10-19T00:18:03Z,0.019
2019-10-19T00:19:38Z,NA
2019-10-19T00:20:03Z,0.018
2019-10-19T00:21:38Z,NA
2019-10-19T00:22:03Z,0.017
2019-10-19T00:23:38Z,NA
2019-10-19T00:24:03Z,0.017
2019-10-19T00:25:38Z,NA
2019-10-19T00:26:03Z,0.019
2019-10-19T00:27:38Z,NA
2019-10-19T00:28:03Z,0.017
2019-10-19T00:29:38Z,NA
2019-10-19T00:30:03Z,0.018
2019-10-19T00:31:38Z,NA
2019-10-19T00:32:03Z,0.016
2019-10-19T00:33:38Z,NA
2019-10-19T00:34:03Z,0.017
2019-10-19T00:35:38Z,NA
2019-10-19T00:36:03Z,0.017
2019-10-19T00:37:38Z,NA
2019-10-19T00:38:03Z,0.019
2019-10-19T00:39:38Z,NA
2019-10-19T00:40:03Z,0.018
2019-10-19T00:41:38Z,NA
2019-10-19T00:42:03Z,0.018
2019-10-19T00:43:38Z,NA
2019-10-19T00:44:03Z,0.018
2019-10-19T00:45:38Z,NA
2019-10-19T00:46:03Z,0.02
2019-10-19T00:47:38Z,NA
2019-10-19T00:48:03Z,0.022
2019-10-19T00:49:38Z,NA
2019-10-19T00:50:03Z,0.021
2019-10-19T00:51:38Z,NA
2019-10-19T00:52:03Z,0.018
2019-10-19T00:53:38Z,NA
2019-10-19T00:54:03Z,0.017
2019-10-19T00:55:38Z,NA
2019-10-19T00:56:03Z,0.018
2019-10-19T00:57:38Z,NA
2019-10-19T00:58:03Z,0.017
2019-10-19T00:59:38Z,NA
2019-10-19T01:00:03Z,0.018
2019-10-19T01:01:38Z,NA
2019-10-19T01:02:03Z,0.02
2019-10-19T01:03:38Z,NA
2019-10-19T01:04:03Z,0.019
2019-10-19T01:05:38Z,NA
2019-10-19T01:06:03Z,0.018
2019-10-19T01:07:38Z,NA
2019-10-19T01:08:03Z,0.019
2019-10-19T01:09:38Z,NA
2019-10-19T01:10:03Z,0.02
2019-10-19T01:11:38Z,NA
2019-10-19T01:12:03Z,0.02
2019-10-19T01:13:38Z,NA
2019-10-19T01:14:03Z,0.018
2019-10-19T01:15:38Z,NA
2019-10-19T01:16:03Z,0.021
2019-10-19T01:17:38Z,NA
2019-10-19T01:18:03Z,0.02
2019-10-19T01:19:38Z,NA
2019-10-19T01:20:03Z,0.019
2019-10-19T01:21:38Z,NA
2019-10-19T01:22:03Z,0.02
2019-10-19T01:23:38Z,NA
2019-10-19T01:24:03Z,0.019
2019-10-19T01:25:38Z,NA
2019-10-19T01:26:03Z,0.021
2019-10-19T01:27:38Z,NA
2019-10-19T01:28:03Z,0.021
2019-10-19T01:29:38Z,NA
2019-10-19T01:30:03Z,0.018
2019-10-19T01:31:38Z,NA
2019-10-19T01:32:03Z,0.02
2019-10-19T01:33:38Z,NA
2019-10-19T01:34:03Z,0.018
2019-10-19T01:35:38Z,NA
2019-10-19T01:36:03Z,0.02
2019-10-19T01:37:38Z,NA
2019-10-19T01:38:03Z,0.023
2019-10-19T01:39:38Z,NA
2019-10-19T01:40:03Z,0.02
2019-10-19T01:41:38Z,NA
2019-10-19T01:42:03Z,0.021
2019-10-19T01:43:38Z,NA
2019-10-19T01:44:03Z,0.021
2019-10-19T01:45:38Z,NA
2019-10-19T01:46:03Z,0.02
2019-10-19T01:47:38Z,NA
2019-10-19T01:48:03Z,0.021
2019-10-19T01:49:38Z,NA
2019-10-19T01:50:03Z,0.02
2019-10-19T01:51:38Z,NA
2019-10-19T01:52:03Z,0.021
2019-10-19T01:53:38Z,NA
2019-10-19T01:54:03Z,0.021
2019-10-19T01:55:38Z,NA
2019-10-19T01:56:03Z,0.02
2019-10-19T01:57:38Z,NA
2019-10-19T01:58:03Z,0.021
2019-10-19T01:59:38Z,NA
2019-10-19T02:00:03Z,0.021
2019-10-19T02:01:38Z,NA
2019-10-19T02:02:03Z,0.022
2019-10-19T02:03:38Z,NA
2019-10-19T02:04:03Z,0.019
2019-10-19T02:05:38Z,NA
2019-10-19T02:06:03Z,0.022
2019-10-19T02:07:38Z,NA
2019-10-19T02:08:03Z,0.019
2019-10-19T02:09:38Z,NA
2019-10-19T02:10:03Z,0.023
2019-10-19T02:11:38Z,NA
2019-10-19T02:12:03Z,0.021
2019-10-19T02:13:38Z,NA
2019-10-19T02:14:03Z,0.021
2019-10-19T02:15:38Z,NA
2019-10-19T02:16:03Z,0.021
2019-10-19T02:17:38Z,NA
2019-10-19T02:18:03Z,0.022
2019-10-19T02:19:38Z,NA
2019-10-19T02:20:03Z,0.022
2019-10-19T02:21:38Z,NA
2019-10-19T02:22:03Z,0.023
2019-10-19T02:23:38Z,NA
2019-10-19T02:24:03Z,0.023
2019-10-19T02:25:38Z,NA
2019-10-19T02:26:03Z,0.022
2019-10-19T02:27:38Z,NA
2019-10-19T02:28:03Z,0.022
2019-10-19T02:29:38Z,NA
2019-10-19T02:30:03Z,0.022
2019-10-19T02:31:38Z,NA
2019-10-19T02:32:03Z,0.022
2019-10-19T02:33:38Z,NA
2019-10-19T02:34:03Z,0.023
2019-10-19T02:35:38Z,NA
2019-10-19T02:36:03Z,0.023
2019-10-19T02:37:38Z,NA
2019-10-19T02:38:03Z,0.022
2019-10-19T02:39:38Z,NA
2019-10-19T02:40:03Z,0.023
2019-10-19T02:41:38Z,NA
2019-10-19T02:42:03Z,0.024
2019-10-19T02:43:38Z,NA
2019-10-19T02:44:03Z,0.024
2019-10-19T02:45:38Z,NA
2019-10-19T02:46:03Z,0.025
2019-10-19T02:47:38Z,NA
2019-10-19T02:48:03Z,0.024
2019-10-19T02:49:38Z,NA
2019-10-19T02:50:03Z,0.025
2019-10-19T02:51:38Z,NA
2019-10-19T02:52:03Z,0.025
2019-10-19T02:53:38Z,NA
2019-10-19T02:54:03Z,0.023
2019-10-19T02:55:38Z,NA
2019-10-19T02:56:03Z,0.024
2019-10-19T02:57:38Z,NA
2019-10-19T02:58:03Z,0.024
2019-10-19T02:59:38Z,NA
2019-10-19T03:00:03Z,0.025
2019-10-19T03:01:38Z,NA
2019-10-19T03:02:03Z,0.026
2019-10-19T03:03:38Z,NA
2019-10-19T03:04:03Z,0.024
2019-10-19T03:05:38Z,NA
2019-10-19T03:06:03Z,0.026
2019-10-19T03:07:38Z,NA
2019-10-19T03:08:03Z,0.025
2019-10-19T03:09:38Z,NA
2019-10-19T03:10:03Z,0.023
2019-10-19T03:11:38Z,NA
2019-10-19T03:12:03Z,0.023
2019-10-19T03:13:38Z,NA
2019-10-19T03:14:03Z,0.025
2019-10-19T03:15:38Z,NA
2019-10-19T03:16:03Z,0.025
2019-10-19T03:17:38Z,NA
2019-10-19T03:18:03Z,0.027
2019-10-19T03:19:38Z,NA
2019-10-19T03:20:03Z,0.024
2019-10-19T03:21:38Z,NA
2019-10-19T03:22:03Z,0.024
2019-10-19T03:23:38Z,NA
2019-10-19T03:24:03Z,0.025
2019-10-19T03:25:38Z,NA
2019-10-19T03:26:03Z,0.025
2019-10-19T03:27:38Z,NA
2019-10-19T03:28:03Z,0.027
2019-10-19T03:29:38Z,NA
2019-10-19T03:30:03Z,0.026
2019-10-19T03:31:38Z,NA
2019-10-19T03:32:03Z,0.026
2019-10-19T03:33:38Z,NA
2019-10-19T03:34:03Z,0.024
2019-10-19T03:35:38Z,NA
2019-10-19T03:36:03Z,0.026
2019-10-19T03:37:38Z,NA
2019-10-19T03:38:03Z,0.026
2019-10-19T03:39:38Z,NA
2019-10-19T03:40:03Z,0.028
2019-10-19T03:41:38Z,NA
2019-10-19T03:42:03Z,0.029
2019-10-19T03:43:38Z,NA
2019-10-19T03:44:03Z,0.028
2019-10-19T03:45:38Z,NA
2019-10-19T03:46:03Z,0.029
2019-10-19T03:47:38Z,NA
2019-10-19T03:48:03Z,0.026
2019-10-19T03:49:38Z,NA
2019-10-19T03:50:03Z,0.028
2019-10-19T03:51:38Z,NA
2019-10-19T03:52:03Z,0.028
2019-10-19T03:53:38Z,NA
2019-10-19T03:54:03Z,0.029
2019-10-19T03:55:38Z,NA
2019-10-19T03:56:03Z,0.028
2019-10-19T03:57:38Z,NA
2019-10-19T03:58:03Z,0.028
2019-10-19T03:59:38Z,NA
2019-10-19T04:00:03Z,0.028
2019-10-19T04:01:38Z,NA
2019-10-19T04:02:03Z,0.028
2019-10-19T04:03:38Z,NA
2019-10-19T04:04:03Z,0.027
2019-10-19T04:05:38Z,NA
2019-10-19T04:06:03Z,0.027
2019-10-19T04:07:38Z,NA
2019-10-19T04:08:03Z,0.028
2019-10-19T04:09:38Z,NA
2019-10-19T04:10:03Z,0.028
2019-10-19T04:11:38Z,NA
2019-10-19T04:12:03Z,0.028
2019-10-19T04:13:38Z,NA
2019-10-19T04:14:03Z,0.027
2019-10-19T04:15:38Z,NA
2019-10-19T04:16:03Z,0.027
2019-10-19T04:17:38Z,NA
2019-10-19T04:18:03Z,0.028
2019-10-19T04:19:38Z,NA
2019-10-19T04:20:03Z,0.026
2019-10-19T04:21:38Z,NA
2019-10-19T04:22:03Z,0.026
2019-10-19T04:23:38Z,NA
2019-10-19T04:24:03Z,0.027
2019-10-19T04:25:38Z,NA
2019-10-19T04:26:03Z,0.028
2019-10-19T04:27:38Z,NA
2019-10-19T04:28:03Z,0.028
2019-10-19T04:29:38Z,NA
2019-10-19T04:30:03Z,0.028
2019-10-19T04:31:38Z,NA
2019-10-19T04:32:03Z,0.026
2019-10-19T04:33:38Z,NA
2019-10-19T04:34:03Z,0.026
2019-10-19T04:35:38Z,NA
2019-10-19T04:36:03Z,0.029
2019-10-19T04:37:38Z,NA
2019-10-19T04:38:03Z,0.029
2019-10-19T04:39:38Z,NA
2019-10-19T04:40:03Z,0.028
2019-10-19T04:41:38Z,NA
2019-10-19T04:42:03Z,0.03
2019-10-19T04:43:38Z,NA
2019-10-19T04:44:03Z,0.027
2019-10-19T04:45:38Z,NA
2019-10-19T04:46:03Z,0.028
2019-10-19T04:47:38Z,NA
2019-10-19T04:48:03Z,0.028
2019-10-19T04:49:38Z,NA
2019-10-19T04:50:03Z,0.029
2019-10-19T04:51:38Z,NA
2019-10-19T04:52:03Z,0.027
2019-10-19T04:53:38Z,NA
2019-10-19T04:54:03Z,0.029
2019-10-19T04:55:38Z,NA
2019-10-19T04:56:03Z,0.029
2019-10-19T04:57:38Z,NA
2019-10-19T04:58:03Z,0.029
2019-10-19T04:59:38Z,NA
2019-10-19T05:00:03Z,0.027
2019-10-19T05:01:38Z,NA
2019-10-19T05:02:03Z,0.028
2019-10-19T05:03:38Z,NA
2019-10-19T05:04:03Z,0.028
2019-10-19T05:05:38Z,NA
2019-10-19T05:06:03Z,0.027
2019-10-19T05:07:38Z,NA
2019-10-19T05:08:03Z,0.028
2019-10-19T05:09:38Z,NA
2019-10-19T05:10:03Z,0.028
2019-10-19T05:11:38Z,NA
2019-10-19T05:12:03Z,0.03
2019-10-19T05:13:38Z,NA
2019-10-19T05:14:03Z,0.029
2019-10-19T05:15:38Z,NA
2019-10-19T05:16:03Z,0.031
2019-10-19T05:17:38Z,NA
2019-10-19T05:18:03Z,0.03
2019-10-19T05:19:38Z,NA
2019-10-19T05:20:03Z,0.029
2019-10-19T05:21:38Z,NA
2019-10-19T05:22:03Z,0.029
2019-10-19T05:23:38Z,NA
2019-10-19T05:24:03Z,0.03
2019-10-19T05:25:38Z,NA
2019-10-19T05:26:03Z,0.03
2019-10-19T05:27:38Z,NA
2019-10-19T05:28:03Z,0.03
2019-10-19T05:29:38Z,NA
2019-10-19T05:30:03Z,0.03
2019-10-19T05:31:38Z,NA
2019-10-19T05:32:03Z,0.032
2019-10-19T05:33:38Z,NA
2019-10-19T05:34:03Z,0.031
2019-10-19T05:35:38Z,NA
2019-10-19T05:36:03Z,0.032
2019-10-19T05:37:38Z,NA
2019-10-19T05:38:03Z,0.032
2019-10-19T05:39:38Z,NA
2019-10-19T05:40:03Z,0.032
2019-10-19T05:41:38Z,NA
2019-10-19T05:42:03Z,0.032
2019-10-19T05:43:38Z,NA
2019-10-19T05:44:03Z,0.032
2019-10-19T05:45:38Z,NA
2019-10-19T05:46:03Z,0.031
2019-10-19T05:47:38Z,NA
2019-10-19T05:48:03Z,0.031
2019-10-19T05:49:38Z,NA
2019-10-19T05:50:03Z,0.03
2019-10-19T05:51:38Z,NA
2019-10-19T05:52:03Z,0.033
2019-10-19T05:53:38Z,NA
2019-10-19T05:54:03Z,0.033
2019-10-19T05:55:38Z,NA
2019-10-19T05:56:03Z,0.033
2019-10-19T05:57:38Z,NA
2019-10-19T05:58:03Z,0.033
2019-10-19T05:59:38Z,NA
2019-10-19T06:00:03Z,0.034
2019-10-19T06:01:38Z,NA
